volatilite_par_jour_%;sortie_basse_%;palier1_%;palier2_%;palier3_%;jours_poche_sup_1pct_%;mediane_jour_poche_%;pire_5pct_jour_%;mois_median_poche_%;positions_coupees_%
5.0;-3.0;3.0;5.0;8.0;23.3;-0.137;-2.27;-2.55;52
4.0;-3.0;3.0;5.0;8.0;22.3;-0.086;-2.15;-1.00;42
5.0;-3.0;2.0;4.0;6.0;22.0;0.033;-2.05;-0.28;50
5.0;-2.0;3.0;5.0;8.0;20.1;-0.100;-2.10;0.76;66
4.0;-3.0;2.0;3.5;4.0;19.9;-0.026;-2.11;-1.85;42
4.0;-3.0;2.0;4.0;6.0;19.7;-0.056;-2.10;-1.24;42
5.0;-1.5;3.0;5.0;8.0;19.4;-0.233;-1.60;0.30;73
5.0;-2.0;2.0;3.5;4.0;19.3;-0.033;-1.83;-1.10;63
4.0;-2.0;3.0;5.0;8.0;18.8;-0.180;-2.01;-1.46;59
5.0;-2.0;2.0;4.0;6.0;18.5;0.033;-1.83;0.22;65
5.0;-3.0;2.0;3.5;4.0;18.2;-0.082;-1.99;-0.85;49
3.0;-3.0;3.0;5.0;8.0;18.2;-0.099;-1.94;-1.68;29
4.0;-1.5;3.0;5.0;8.0;18.0;-0.137;-1.60;-0.33;67
4.0;-2.0;2.0;3.5;4.0;17.7;-0.033;-1.83;-1.44;57
5.0;-1.0;3.0;5.0;8.0;17.6;-0.026;-1.10;1.11;80
3.0;-2.0;3.0;5.0;8.0;17.1;-0.080;-1.71;-1.20;47
5.0;-3.0;1.5;2.5;4.0;17.1;-0.127;-1.97;-2.43;50
4.0;-2.0;2.0;4.0;6.0;17.0;-0.070;-1.83;-1.36;59
4.0;-3.0;1.5;2.5;4.0;16.9;-0.150;-1.97;-2.69;42
5.0;-1.5;2.0;3.5;4.0;16.7;-0.100;-1.60;-0.66;69
4.0;-1.0;3.0;5.0;8.0;16.4;-0.055;-1.10;0.21;76
3.0;-3.0;2.0;4.0;6.0;15.9;-0.097;-1.85;-2.37;29
3.0;-1.5;3.0;5.0;8.0;14.9;-0.097;-1.60;-1.47;59
3.0;-3.0;2.0;3.5;4.0;14.9;-0.128;-1.87;-2.83;29
5.0;-1.5;2.0;4.0;6.0;14.3;-0.147;-1.60;-0.52;73
4.0;-1.5;2.0;3.5;4.0;13.7;-0.062;-1.60;-1.36;66
3.0;-2.0;2.0;4.0;6.0;13.7;-0.071;-1.51;-1.18;47
3.0;-2.0;2.0;3.5;4.0;13.5;-0.109;-1.53;-1.48;47
4.0;-1.5;2.0;4.0;6.0;13.1;-0.110;-1.60;-0.53;68
5.0;-1.0;2.0;4.0;6.0;13.0;-0.100;-1.10;0.77;80
4.0;-2.0;1.5;2.5;4.0;13.0;-0.140;-1.48;-0.98;57
3.0;-1.5;2.0;4.0;6.0;12.9;-0.092;-1.40;-0.83;58
3.0;-1.0;3.0;5.0;8.0;12.8;-0.092;-1.10;-0.34;71
3.0;-3.0;1.5;2.5;4.0;12.8;-0.104;-1.71;-2.69;29
3.0;-1.5;2.0;3.5;4.0;12.2;-0.087;-1.60;-1.33;59
5.0;-1.0;2.0;3.5;4.0;12.0;-0.067;-1.10;0.28;76
5.0;-0.5;3.0;5.0;8.0;11.5;-0.091;-0.60;1.85;88
5.0;-2.0;1.5;2.5;4.0;11.3;-0.167;-1.57;-1.50;62
4.0;-0.5;3.0;5.0;8.0;11.1;-0.133;-0.60;0.40;86
2.0;-3.0;3.0;5.0;8.0;10.7;-0.139;-1.50;-2.41;12
4.0;-1.0;2.0;3.5;4.0;10.6;-0.067;-1.10;-0.44;75
5.0;-1.5;1.5;2.5;4.0;10.6;-0.074;-1.40;-0.49;69
2.0;-3.0;2.0;3.5;4.0;10.4;-0.090;-1.43;-1.62;12
2.0;-3.0;2.0;4.0;6.0;10.4;-0.110;-1.49;-2.08;12
4.0;-0.5;2.0;4.0;6.0;10.1;-0.095;-0.60;0.52;86
3.0;-0.5;3.0;5.0;8.0;10.1;-0.047;-0.60;0.75;82
4.0;-1.0;2.0;4.0;6.0;10.0;-0.100;-1.10;-0.18;76
3.0;-2.0;1.5;2.5;4.0;10.0;-0.128;-1.47;-2.25;48
3.0;-3.0;1.0;2.0;3.0;9.9;-0.100;-1.59;-3.20;29
5.0;-1.0;1.5;2.5;4.0;9.7;-0.033;-1.10;0.36;76
3.0;-1.0;2.0;3.5;4.0;9.7;-0.074;-1.10;-0.45;69
5.0;-0.5;2.0;4.0;6.0;9.7;0.033;-0.60;1.12;88
5.0;-3.0;1.0;2.0;3.0;9.7;-0.100;-1.83;-5.06;47
5.0;-2.0;1.0;2.0;3.0;9.7;-0.100;-1.30;-1.48;58
3.0;-1.0;2.0;4.0;6.0;9.6;-0.100;-1.10;-0.92;71
4.0;-3.0;1.0;2.0;3.0;9.3;-0.101;-1.83;-3.69;41
2.0;-2.0;3.0;5.0;8.0;9.3;-0.122;-1.37;-2.05;29
4.0;-2.0;1.0;2.0;3.0;8.9;-0.100;-1.35;-2.47;56
5.0;-3.0;0.8;1.5;2.5;8.9;-0.153;-1.67;-4.21;44
2.0;-2.0;2.0;4.0;6.0;8.8;-0.130;-1.33;-2.09;30
4.0;-0.3;3.0;5.0;8.0;8.7;-0.180;-0.40;1.59;90
4.0;-3.0;0.8;1.5;2.5;8.6;-0.101;-1.66;-3.82;39
4.0;-1.5;1.5;2.5;4.0;8.5;-0.100;-1.40;-2.07;67
2.0;-2.0;2.0;3.5;4.0;8.5;-0.101;-1.32;-1.77;30
3.0;-1.5;1.5;2.5;4.0;8.4;-0.109;-1.40;-2.36;59
5.0;-0.3;3.0;5.0;8.0;8.3;-0.180;-0.40;2.67;91
2.0;-1.5;3.0;5.0;8.0;8.1;-0.094;-1.23;-1.15;42
2.0;-1.5;2.0;3.5;4.0;8.1;-0.103;-1.17;-0.79;43
4.0;-1.5;1.0;2.0;3.0;8.0;-0.100;-1.20;-1.11;63
3.0;-2.0;1.0;2.0;3.0;7.8;-0.100;-1.36;-1.45;46
3.0;-3.0;0.8;1.5;2.5;7.7;-0.087;-1.58;-3.23;28
4.0;-1.0;1.5;2.5;4.0;7.5;-0.200;-1.10;-1.06;76
3.0;-1.0;1.5;2.5;4.0;7.3;-0.033;-1.10;0.35;69
5.0;-0.3;2.0;4.0;6.0;7.3;-0.093;-0.40;2.54;90
4.0;-0.3;2.0;4.0;6.0;7.3;-0.247;-0.40;1.24;90
5.0;-0.5;2.0;3.5;4.0;7.2;0.133;-0.60;1.35;85
2.0;-1.0;3.0;5.0;8.0;7.2;-0.093;-1.10;-1.01;58
2.0;-3.0;1.5;2.5;4.0;7.1;-0.113;-1.45;-3.59;12
2.0;-1.5;2.0;4.0;6.0;6.9;-0.087;-1.19;-1.13;43
5.0;-0.1;3.0;5.0;8.0;6.9;-0.200;-0.20;3.95;93
5.0;-0.5;1.5;2.5;4.0;6.8;0.033;-0.60;1.12;84
5.0;-0.1;2.0;3.5;4.0;6.6;-0.060;-0.20;2.94;91
2.0;-2.0;1.5;2.5;4.0;6.5;-0.117;-1.27;-2.47;29
2.0;-1.0;2.0;3.5;4.0;6.3;-0.091;-1.10;-1.15;58
5.0;-1.5;1.0;2.0;3.0;6.3;-0.167;-1.20;-1.44;65
4.0;-0.5;2.0;3.5;4.0;6.1;0.133;-0.60;0.65;85
3.0;-0.5;2.0;4.0;6.0;6.0;-0.006;-0.60;0.59;82
2.0;-1.5;1.5;2.5;4.0;6.0;-0.040;-1.12;-0.89;41
2.0;-1.0;2.0;4.0;6.0;6.0;-0.109;-1.10;-0.96;58
2.0;-3.0;1.0;2.0;3.0;5.7;-0.109;-1.33;-2.77;12
3.0;-0.3;3.0;5.0;8.0;5.7;-0.180;-0.40;0.45;88
4.0;-0.5;1.5;2.5;4.0;5.2;0.033;-0.60;0.41;84
5.0;-0.1;2.0;4.0;6.0;5.2;-0.060;-0.20;2.39;94
4.0;-0.1;3.0;5.0;8.0;5.2;-0.200;-0.20;2.76;93
3.0;-1.5;1.0;2.0;3.0;5.1;-0.120;-1.20;-2.41;58
3.0;-0.3;2.0;4.0;6.0;5.1;-0.114;-0.40;0.52;87
3.0;-2.0;0.8;1.5;2.5;4.9;-0.079;-1.38;-2.08;45
3.0;-0.5;2.0;3.5;4.0;4.8;-0.025;-0.60;-0.94;83
